permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/blizuu,Blizuu,http://www.blizuu.com,Auctions|Business Services|Enterprise Software|Network Security,40000,operating,USA,FL,Miami,Key Biscayne,1,03-03-2014,01-02-2014,01-02-2014
/organization/blizzfull,Blizzfull,http://blizzfull.com,E-Commerce,300000,operating,USA,CA,Los Angeles,Glendale,1,01-09-2012,01-09-2012,01-09-2012
/organization/blm-acquisition-corp,BLM Acquisition Corp,,Service Providers,29750000,closed,USA,NH,"Manchester, New Hampshire",Manchester,1,,26-05-2015,26-05-2015
/organization/bloc-2,Bloc,https://www.bloc.io,Android|Education|iOS|Web Design|Web Development,8250000,operating,USA,CA,SF Bay Area,San Francisco,3,14-12-2011,10-05-2012,18-11-2014
/organization/block-party-suites,Block Party Suites,,Entertainment Industry|Hospitality|Sponsorship|Sports,500000,operating,,,,,1,,15-04-2015,15-04-2015
/organization/blockade-medical,Blockade Medical,http://blockademedical.com,Health Care,9378646,operating,USA,CA,Anaheim,Irvine,3,01-01-2011,25-03-2013,10-11-2015
/organization/blockai,Blockai,https://www.blockai.com/,,-,operating,,,,,1,,30-04-2015,30-04-2015
/organization/blockavenue,BlockAvenue,http://BlockAvenue.com,Big Data|Curated Web|Local|Mobile|Real Estate|Travel,1000000,operating,USA,MA,Boston,Boston,1,01-01-2012,12-06-2013,12-06-2013
/organization/blockbeacon,BlockBeacon,http://www.blockbeacon.com,Curated Web,500000,acquired,USA,CA,Los Angeles,Santa Monica,1,01-01-2012,21-06-2012,21-06-2012
/organization/blockboard,Blockboard,http://blockboard.org,Location Based Services|Mobile,1000000,acquired,USA,CA,SF Bay Area,San Francisco,1,,27-05-2010,27-05-2010
/organization/blockchain-info,Blockchain,http://blockchain.com/,Banking|Bitcoin|Finance|Finance Technology|FinTech,30000000,operating,,,,,1,01-08-2011,07-10-2014,07-10-2014
/organization/blockcypher,BlockCypher,http://www.blockcypher.com/,Bitcoin|Cloud Infrastructure,3500000,operating,USA,CA,SF Bay Area,Redwood City,2,01-01-2014,01-11-2014,14-01-2015
/organization/blockpeek,BLOCKpeek,http://www.blockpeek.com,General Public Worldwide|Public Safety,-,operating,DEU,16,Berlin,Berlin,1,01-05-2014,31-10-2014,31-10-2014
/organization/blocks,Blocks,http://www.chooseblocks.com/,Hardware + Software|Wearables,360000,operating,GBR,H9,London,London,2,30-12-2013,20-08-2015,13-10-2015
/organization/blockscore,BlockScore,http://blockscore.com,Fraud Detection|Identity|Risk Management|Software,2025000,operating,USA,CA,SF Bay Area,Palo Alto,2,01-08-2013,01-06-2013,25-06-2014
/organization/blockspring,BlockSpring,https://www.blockspring.com/,Design,3520000,operating,USA,CA,SF Bay Area,San Francisco,2,,16-07-2014,29-07-2015
/organization/blockstream,Blockstream,http://blockstream.com/,Bitcoin|Payments,21000000,operating,CAN,QC,Montreal,Montréal,1,,17-11-2014,17-11-2014
/organization/blocktrace,Everledger,http://everledger.io,Finance|Insurance|Tracking,118000,operating,GBR,H9,London,London,1,10-04-2015,23-03-2015,23-03-2015
/organization/blocktrail,BlockTrail,http://www.blocktrail.com,Big Data Analytics|Bitcoin|Information Technology|Services,669209,operating,USA,OH,OH - Other,Amsterdam,1,01-03-2014,18-08-2014,18-08-2014
/organization/blockverify,BlockVerify,http://www.blockverify.io/,Information Services,53098.78553,operating,GBR,H9,London,London,2,01-01-2015,10-04-2015,19-07-2015
/organization/blocpower,BlocPower,http://www.blocpower.org/,Analytics|Business Analytics|Energy Management,25000,operating,USA,NY,New York City,New York,1,,28-02-2014,28-02-2014
